"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"TR2","SOIC8","71.505mm","37.8mm","69.6mm","35.4mm","69.6mm","35.4mm","T","90.00","GTL2002"
"R57","R2012","74.7mm","32.7mm","74.7mm","32.7mm","73.75mm","32.7mm","T","0.00","470R"
"R56","R2012","70.9mm","32.7mm","70.9mm","32.7mm","71.85mm","32.7mm","T","180.00","470R"
"R55","R2012","67.2mm","43mm","67.2mm","43mm","68.15mm","43mm","T","180.00","200k"
"R54","R2012","71mm","43mm","71mm","43mm","70.05mm","43mm","T","0.00","1k"
"R53","R2012","74.8mm","43mm","74.8mm","43mm","75.75mm","43mm","T","180.00","1k"
"CN1","USB-MICROB","34.1mm","130.1937mm","34.1mm","130.2mm","35.4mm","128.85mm","T","180.00","Micro-USB"
"Y1","FXO-HC73","62.04mm","81.7mm","59.5mm","83.8mm","59.5mm","83.8mm","T","0.00","FXO-HC736R-16"
"U1","STM-LQFP144_M","67.75mm","62.875mm","67.75mm","62.875mm","76.5mm","73.475mm","T","270.00","STM32F407ZGT6J"
"S1","SWITCH","69mm","95mm","69mm","95mm","64.8mm","92.75mm","T","180.00","RESET"
"R4","R2012","80mm","108.2mm","80mm","108.2mm","80mm","107.25mm","T","90.00","1k"
"R5","R2012","75.8mm","108.2mm","75.8mm","108.2mm","75.8mm","107.25mm","T","90.00","1k"
"R6","R2012","71.6mm","108.2mm","71.6mm","108.2mm","71.6mm","107.25mm","T","90.00","1k"
"R7","R2012","67.4mm","108.2mm","67.4mm","108.2mm","67.4mm","107.25mm","T","90.00","1k"
"R8","R2012","63.2mm","108.2mm","63.2mm","108.2mm","63.2mm","107.25mm","T","90.00","1k"
"R9","R2012","59mm","108.2mm","59mm","108.2mm","59mm","107.25mm","T","90.00","1k"
"R10","R2012","54.8mm","108.2mm","54.8mm","108.2mm","54.8mm","107.25mm","T","90.00","1k"
"R11","R2012","50.6mm","108.2mm","50.6mm","108.2mm","50.6mm","107.25mm","T","90.00","1k"
"R12","R2012","46.4mm","108.2mm","46.4mm","108.2mm","46.4mm","107.25mm","T","90.00","1k"
"D21","MLCC2","41.6mm","38.7mm","41.6mm","38.7mm","43.1mm","38.7mm","B","180.00","Touch LED"
"D1","MLCC2","84.2mm","113mm","84.2mm","113mm","84.2mm","114.5mm","T","270.00","Green"
"D2","MLCC2","80mm","113mm","80mm","113mm","80mm","114.5mm","T","270.00","Green"
"D3","MLCC2","75.8mm","113mm","75.8mm","113mm","75.8mm","114.5mm","T","270.00","Green"
"D4","MLCC2","71.6mm","113mm","71.6mm","113mm","71.6mm","114.5mm","T","270.00","Green"
"D5","MLCC2","67.4mm","113mm","67.4mm","113mm","67.4mm","114.5mm","T","270.00","Green"
"D6","MLCC2","63.2mm","113mm","63.2mm","113mm","63.2mm","114.5mm","T","270.00","Green"
"D7","MLCC2","59mm","113mm","59mm","113mm","59mm","114.5mm","T","270.00","Green"
"D8","MLCC2","54.8mm","113mm","54.8mm","113mm","54.8mm","114.5mm","T","270.00","Green"
"D9","MLCC2","50.6mm","113mm","50.6mm","113mm","50.6mm","114.5mm","T","270.00","Green"
"D10","MLCC2","46.4mm","113mm","46.4mm","113mm","46.4mm","114.5mm","T","270.00","Green"
"C1","C2012","67.1mm","80.1mm","67.1mm","80.1mm","67.1mm","81.05mm","T","270.00","15pF"
"BT1","2032_SMD_HOLDER","16mm","114.1mm","16mm","99.45mm","16mm","99.45mm","B","270.00","Battery"
"C2","C2012","56.9mm","80.1mm","56.9mm","80.1mm","56.9mm","79.15mm","T","90.00","100nF"
"C3","C2012","63.5mm","80.1mm","63.5mm","80.1mm","63.5mm","81.05mm","B","270.00","100nF"
"C5","C2012","75.5mm","48.6mm","75.5mm","48.6mm","75.5mm","49.55mm","T","270.00","2.2uF"
"C19","C2012","23.5mm","44.1mm","23.5mm","44.1mm","23.5mm","43.15mm","T","90.00","15pF"
"C20","C2012","33.8mm","44.1mm","33.8mm","44.1mm","33.8mm","45.05mm","T","270.00","100nF"
"C413","C2012","56.5mm","19.4mm","56.5mm","19.4mm","56.5mm","20.35mm","B","270.00","1uF"
"C411","C2012","66.1mm","19.4mm","66.1mm","19.4mm","66.1mm","20.35mm","B","270.00","1uF"
"C412","C2012","75.7mm","19.4mm","75.7mm","19.4mm","75.7mm","20.35mm","B","270.00","1uF"
"C49","C2012","42.575mm","21.7mm","42.575mm","21.7mm","42.575mm","20.75mm","T","90.00","10nF"
"C46","C2012","33.6mm","22mm","33.6mm","22mm","33.6mm","21.05mm","B","90.00","10nF"
"C47","C2012","38.625mm","21.7mm","38.625mm","21.7mm","38.625mm","20.75mm","T","90.00","10nF"
"C48","C2012","40.625mm","21.7mm","40.625mm","21.7mm","40.625mm","20.75mm","T","90.00","10nF"
